mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.73,0.74,0.75,0.74,15,3065,0.26,3065_15
0.86,1.0,0.71,0.63,15,3066,0.37,3066_15
0.62,0.57,0.46,0.3,15,3067,0.7,3067_15
0.64,0.57,0.79,0.74,15,3068,0.26,3068_15
0.8,0.65,0.71,0.63,15,3069,0.37,3069_15
0.6,0.45,0.59,0.53,15,3070,0.47,3070_15
0.91,1.0,0.92,0.95,15,3071,0.050000000000000044,3071_15
0.56,0.39,0.44,0.45,15,3072,0.55,3072_15
0.65,0.32,0.49,0.56,15,3073,0.43999999999999995,3073_15
0.57,0.65,0.36,0.61,15,3074,0.39,3074_15
0.84,0.61,0.66,0.73,15,3075,0.27,3075_15
0.97,0.86,0.97,0.99,15,3076,0.010000000000000009,3076_15
0.13,0.14,0.62,0.02,15,3077,0.98,3077_15
0.2,0.47,0.72,0.08,15,3078,0.92,3078_15
0.96,,0.95,0.99,16,3051,0.010000000000000009,3051_16
0.64,,0.65,0.7,16,3053,0.30000000000000004,3053_16
0.63,,0.47,0.22,16,3054,0.78,3054_16
0.7,,0.87,0.6,16,3055,0.4,3055_16
0.61,,0.75,0.36,16,3056,0.64,3056_16
0.63,,0.65,0.53,16,3057,0.47,3057_16
0.55,,0.59,0.4,16,3058,0.6,3058_16
0.86,,0.93,0.2,16,3059,0.8,3059_16
0.78,,0.78,0.78,16,3060,0.21999999999999997,3060_16
0.71,,0.73,0.73,16,3061,0.27,3061_16
0.75,,0.73,0.74,16,3062,0.26,3062_16
0.64,,0.72,0.57,16,3063,0.43000000000000005,3063_16
0.8,,0.86,0.75,16,3064,0.25,3064_16
0.43,,0.59,0.52,16,3065,0.48,3065_16
0.75,,0.73,0.82,16,3066,0.18000000000000005,3066_16
0.55,,0.46,0.43,16,3067,0.5700000000000001,3067_16
0.34,,0.36,0.64,16,3068,0.36,3068_16
0.74,,0.62,0.79,16,3069,0.20999999999999996,3069_16
0.57,,0.62,0.72,16,3070,0.28,3070_16
0.95,,0.98,0.97,16,3071,0.030000000000000027,3071_16
0.65,,0.56,0.69,16,3072,0.31000000000000005,3072_16
0.62,,0.6,0.51,16,3073,0.49,3073_16
0.18,,0.25,0.59,16,3074,0.41000000000000003,3074_16
0.82,,0.88,0.58,16,3075,0.42000000000000004,3075_16
0.11,,0.91,0.09,16,3076,0.91,3076_16
0.15,,0.0,0.0,16,3077,1.0,3077_16
